asset_id,longitude,latitude,taxonomy,num_buildings,built_up_area,structural_replacement_cost,structural_retrofit_cost,structural_insurance_limit,structural_insurance_deductible,nonstructural_replacement_cost,nonstructural_retrofit_cost,nonstructural_insurance_limit,nonstructural_insurance_deductible,contents_replacement_cost,contents_retrofit_cost,contents_insurance_limit,contents_insurance_deductible,downtime_cost,downtime_insurance_limit,downtime_insurance_deductible,day_occupants,night_occupants,transit_occupants
55,35.795031019583028,32.302751776614315,JOR-MURsimplestone-6-F-F-F-F-T,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,12,30,18
56,35.795031019583028,32.302751776614315,JOR-MURsimplestone-7-F-F-F-F-T,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,14,35,21
57,35.795031019583028,32.302751776614315,JOR-MURsimplestone-8-F-F-F-F-T,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16,40,24
58,35.795031019583028,32.302751776614315,JOR-MURsimplestone-9-F-F-F-F-T,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,18,45,27
59,35.795031019583028,32.302751776614315,JOR-MURsimplestone-10-F-F-F-F-T,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,20,50,30
60,35.795031019583028,32.302751776614315,JOR-RCFw/oERD-1-T-T-F-F-T,673,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,20,12
61,35.795031019583028,32.302751776614315,JOR-RCFw/oERD-2-T-T-F-F-T,684,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,10,40,24
62,35.795031019583028,32.302751776614315,JOR-RCFw/oERD-3-T-T-F-F-T,102,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15,60,36
63,35.795031019583028,32.302751776614315,JOR-RCFw/oERD-4-T-T-F-F-T,30,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,20,80,48
64,35.795031019583028,32.302751776614315,JOR-RCFw/oERD-5-T-T-F-F-T,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,25,100,60
65,35.795031019583028,32.302751776614315,JOR-RCFw/oERD-6-T-T-F-F-T,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,30,120,72
66,35.795031019583028,32.302751776614315,JOR-RCFw/oERD-7-T-T-F-F-T,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,35,140,84
67,35.795031019583028,32.302751776614315,JOR-RCFw/oERD-8-T-T-F-F-T,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,40,160,96
68,35.795031019583028,32.302751776614315,JOR-RCFw/oERD-9-T-T-F-F-T,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,45,180,108
69,35.795031019583028,32.302751776614315,JOR-RCFw/oERD-10-T-T-F-F-T,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,50,200,120
70,35.795031019583028,32.302751776614315,JOR-RCFw/oERD-1-F-T-F-F-T,531,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,20,12
71,35.795031019583028,32.302751776614315,JOR-RCFw/oERD-2-F-T-F-F-T,539,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,10,40,24
72,35.795031019583028,32.302751776614315,JOR-RCFw/oERD-3-F-T-F-F-T,80,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15,60,36
73,35.795031019583028,32.302751776614315,JOR-RCFw/oERD-4-F-T-F-F-T,24,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,20,80,48
