Adm0,Adm1,Adm2,ConstructionMaterial,NrBuildings,1,2,3,4,5,6,unknown_floor_nr,-1948,1948-1967,1968-1977,1978-1987,1988-1997,1998-2008,unknown_year
PSE,Westbank,Jerusalem,Unknown,215,0.3809483523,0.4508328201,0.1162597884,0.028588639,0.0076040094,0.0071403916,0.0086259991,0.0402295415,0.1243947636,0.1130372407,0.1613366011,0.2215314723,0.1830952239,0.1563751569
PSE,Westbank,Jerusalem,Other,655,0.3809483523,0.4508328201,0.1162597884,0.028588639,0.0076040094,0.0071403916,0.0086259991,0.0402295415,0.1243947636,0.1130372407,0.1613366011,0.2215314723,0.1830952239,0.1563751569
PSE,Westbank,Jerusalem,Old Stone,1377,0.3809483523,0.4508328201,0.1162597884,0.028588639,0.0076040094,0.0071403916,0.0086259991,0.0402295415,0.1243947636,0.1130372407,0.1613366011,0.2215314723,0.1830952239,0.1563751569
PSE,Westbank,Jerusalem,Adobe Clay,8,0.3809483523,0.4508328201,0.1162597884,0.028588639,0.0076040094,0.0071403916,0.0086259991,0.0402295415,0.1243947636,0.1130372407,0.1613366011,0.2215314723,0.1830952239,0.1563751569
PSE,Westbank,Jerusalem,Cement Block,2194,0.3809483523,0.4508328201,0.1162597884,0.028588639,0.0076040094,0.0071403916,0.0086259991,0.0402295415,0.1243947636,0.1130372407,0.1613366011,0.2215314723,0.1830952239,0.1563751569
PSE,Westbank,Jerusalem,Concrete,1418,0.3809483523,0.4508328201,0.1162597884,0.028588639,0.0076040094,0.0071403916,0.0086259991,0.0402295415,0.1243947636,0.1130372407,0.1613366011,0.2215314723,0.1830952239,0.1563751569
PSE,Westbank,Jerusalem,Stone and Concrete,3034,0.3809483523,0.4508328201,0.1162597884,0.028588639,0.0076040094,0.0071403916,0.0086259991,0.0402295415,0.1243947636,0.1130372407,0.1613366011,0.2215314723,0.1830952239,0.1563751569
PSE,Westbank,Jerusalem,Cleaned Stone,8316,0.3809483523,0.4508328201,0.1162597884,0.028588639,0.0076040094,0.0071403916,0.0086259991,0.0402295415,0.1243947636,0.1130372407,0.1613366011,0.2215314723,0.1830952239,0.1563751569
PSE,Westbank,Bethlehem,Unknown,241,0.3809483523,0.4508328201,0.1162597884,0.028588639,0.0076040094,0.0071403916,0.0086259991,0.0559550657,0.1092293945,0.1188034552,0.1723330922,0.2388409004,0.1855665716,0.1192715204
PSE,Westbank,Bethlehem,Other,421,0.3809483523,0.4508328201,0.1162597884,0.028588639,0.0076040094,0.0071403916,0.0086259991,0.0559550657,0.1092293945,0.1188034552,0.1723330922,0.2388409004,0.1855665716,0.1192715204
PSE,Westbank,Bethlehem,Old Stone,2860,0.3809483523,0.4508328201,0.1162597884,0.028588639,0.0076040094,0.0071403916,0.0086259991,0.0559550657,0.1092293945,0.1188034552,0.1723330922,0.2388409004,0.1855665716,0.1192715204
PSE,Westbank,Bethlehem,Adobe Clay,13,0.3809483523,0.4508328201,0.1162597884,0.028588639,0.0076040094,0.0071403916,0.0086259991,0.0559550657,0.1092293945,0.1188034552,0.1723330922,0.2388409004,0.1855665716,0.1192715204
PSE,Westbank,Bethlehem,Cement Block,2681,0.3809483523,0.4508328201,0.1162597884,0.028588639,0.0076040094,0.0071403916,0.0086259991,0.0559550657,0.1092293945,0.1188034552,0.1723330922,0.2388409004,0.1855665716,0.1192715204
PSE,Westbank,Bethlehem,Concrete,2332,0.3809483523,0.4508328201,0.1162597884,0.028588639,0.0076040094,0.0071403916,0.0086259991,0.0559550657,0.1092293945,0.1188034552,0.1723330922,0.2388409004,0.1855665716,0.1192715204
PSE,Westbank,Bethlehem,Stone and Concrete,2886,0.3809483523,0.4508328201,0.1162597884,0.028588639,0.0076040094,0.0071403916,0.0086259991,0.0559550657,0.1092293945,0.1188034552,0.1723330922,0.2388409004,0.1855665716,0.1192715204
PSE,Westbank,Bethlehem,Cleaned Stone,12215,0.3809483523,0.4508328201,0.1162597884,0.028588639,0.0076040094,0.0071403916,0.0086259991,0.0559550657,0.1092293945,0.1188034552,0.1723330922,0.2388409004,0.1855665716,0.1192715204
PSE,Westbank,Hebron,Unknown,561,0.3809483523,0.4508328201,0.1162597884,0.028588639,0.0076040094,0.0071403916,0.0086259991,0.0280747561,0.0790985296,0.1298612065,0.1778205304,0.2797031744,0.2700838258,0.0353579772
PSE,Westbank,Hebron,Other,1831,0.3809483523,0.4508328201,0.1162597884,0.028588639,0.0076040094,0.0071403916,0.0086259991,0.0280747561,0.0790985296,0.1298612065,0.1778205304,0.2797031744,0.2700838258,0.0353579772
PSE,Westbank,Hebron,Old Stone,7166,0.3809483523,0.4508328201,0.1162597884,0.028588639,0.0076040094,0.0071403916,0.0086259991,0.0280747561,0.0790985296,0.1298612065,0.1778205304,0.2797031744,0.2700838258,0.0353579772
PSE,Westbank,Hebron,Adobe Clay,78,0.3809483523,0.4508328201,0.1162597884,0.028588639,0.0076040094,0.0071403916,0.0086259991,0.0280747561,0.0790985296,0.1298612065,0.1778205304,0.2797031744,0.2700838258,0.0353579772
PSE,Westbank,Hebron,Cement Block,9477,0.3809483523,0.4508328201,0.1162597884,0.028588639,0.0076040094,0.0071403916,0.0086259991,0.0280747561,0.0790985296,0.1298612065,0.1778205304,0.2797031744,0.2700838258,0.0353579772
PSE,Westbank,Hebron,Concrete,17910,0.3809483523,0.4508328201,0.1162597884,0.028588639,0.0076040094,0.0071403916,0.0086259991,0.0280747561,0.0790985296,0.1298612065,0.1778205304,0.2797031744,0.2700838258,0.0353579772
PSE,Westbank,Hebron,Stone and Concrete,18067,0.3809483523,0.4508328201,0.1162597884,0.028588639,0.0076040094,0.0071403916,0.0086259991,0.0280747561,0.0790985296,0.1298612065,0.1778205304,0.2797031744,0.2700838258,0.0353579772
PSE,Westbank,Hebron,Cleaned Stone,18735,0.3809483523,0.4508328201,0.1162597884,0.028588639,0.0076040094,0.0071403916,0.0086259991,0.0280747561,0.0790985296,0.1298612065,0.1778205304,0.2797031744,0.2700838258,0.0353579772
PSE,Gaza Strip,Gaza ash Shamaliyah,Unknown,80,0.5211024678,0.2625099507,0.1274108627,0.0547672584,0.0204949513,0.009070849,0.0046436602,0.0028829825,0.0977449548,0.1062754236,0.1781130287,0.2452114845,0.3366770665,0.0330950594
